accuracy,balanced_accuracy,best_params,brier,confusion_matrix,dimension,f1_macro,f1_micro,f1_weighted,fn,fnr,fold,fp,fpr,kappa,log_loss,mcc,mode,model,npv,ppv,pr_auc,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,roc_auc,tn,tnr,tp,tpr
0.625,0.5,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.10682663405805608,"[[5, 0], [3, 0]]",valence,0.38461538461538464,0.625,0.4807692307692308,3,1.0,3,0,0.0,0.0,0.3796888178712484,0.0,subject_dependent,rbf_svm,0.625,0.0,0.46928571428571425,0.3125,0.625,0.390625,0.5,0.625,0.625,1.0,5,1.0,0,0.0
0.75,0.7333333333333334,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.22063881663472473,"[[4, 1], [1, 2]]",valence,0.7333333333333334,0.75,0.75,1,0.3333333333333333,4,1,0.2,0.4666666666666667,0.6713143855534456,0.4666666666666667,subject_dependent,rbf_svm,0.8,0.6666666666666666,0.5592857142857143,0.7333333333333334,0.75,0.75,0.7333333333333334,0.75,0.75,0.7333333333333333,4,0.8,2,0.6666666666666666
0.25,0.3333333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[2, 0, 0], [3, 0, 0], [3, 0, 0]]",valence,0.13333333333333333,0.25,0.1,,,0,,,0.0,1.2357855588929234,0.0,subject_dependent,rbf_svm,,,0.43743386243386245,0.08333333333333333,0.25,0.0625,0.3333333333333333,0.25,0.25,0.4444444444444444,,,,
0.375,0.375,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.30328894590069555,"[[2, 1, 1], [0, 0, 0], [2, 1, 1]]",valence,0.27777777777777773,0.375,0.41666666666666663,,,1,,,0.0,,0.0,subject_dependent,rbf_svm,,,,0.3333333333333333,0.375,0.5,0.25,0.375,0.375,,,,,
0.5,0.3333333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.01}",,"[[4, 0, 0], [3, 0, 0], [1, 0, 0]]",valence,0.2222222222222222,0.5,0.3333333333333333,,,2,,,0.0,1.157525097821534,0.0,subject_dependent,rbf_svm,,,0.8753968253968254,0.16666666666666666,0.5,0.25,0.3333333333333333,0.5,0.5,0.8277777777777778,,,,
0.625,0.5,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[4, 0, 0], [2, 0, 0], [1, 0, 1]]",valence,0.4646464646464647,0.625,0.5303030303030303,,,3,,,0.2941176470588235,1.2157289145463053,0.4225771273642583,subject_dependent,rbf_svm,,,0.3527777777777778,0.5238095238095238,0.625,0.5357142857142857,0.5,0.625,0.625,0.2430555555555555,,,,
0.625,0.47222222222222215,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[3, 0, 1], [1, 0, 0], [1, 0, 2]]",valence,0.4444444444444444,0.625,0.5833333333333333,,,4,,,0.3142857142857143,1.1096754683143,0.32579188276750076,subject_dependent,rbf_svm,,,0.5029761904761905,0.4222222222222222,0.625,0.55,0.47222222222222215,0.625,0.625,0.582936507936508,,,,
0.375,0.3333333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.1}",,"[[0, 0, 1], [0, 0, 4], [0, 0, 3]]",valence,0.1818181818181818,0.375,0.20454545454545453,,,0,,,0.0,1.0780569024223925,0.0,subject_dependent,rbf_svm,,,0.3333333333333333,0.125,0.375,0.140625,0.3333333333333333,0.375,0.375,0.5,,,,
0.75,0.5,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 0, 1], [0, 1, 1], [0, 0, 5]]",valence,0.5,0.75,0.6875,,,1,,,0.40740740740740744,0.9786586383900969,0.5041841733655162,subject_dependent,rbf_svm,,,0.3536507936507936,0.5714285714285715,0.75,0.6964285714285714,0.5,0.75,0.75,0.37936507936507935,,,,
0.25,0.3333333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 0, 2], [0, 0, 4], [0, 0, 2]]",valence,0.13333333333333333,0.25,0.1,,,2,,,0.0,1.4104203843699086,0.0,subject_dependent,rbf_svm,,,0.34722222222222215,0.08333333333333333,0.25,0.0625,0.3333333333333333,0.25,0.25,0.375,,,,
0.5,0.26666666666666666,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[0, 0, 2], [0, 0, 1], [0, 1, 4]]",valence,0.2222222222222222,0.5,0.41666666666666663,,,3,,,-0.1428571428571428,1.317787890710623,-0.18333969940564226,subject_dependent,rbf_svm,,,0.5588888888888889,0.19047619047619047,0.5,0.3571428571428571,0.26666666666666666,0.5,0.5,0.669047619047619,,,,
0.75,0.6666666666666666,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.2686833837756011,"[[1, 2], [0, 5]]",valence,0.6666666666666667,0.75,0.7083333333333334,0,0.0,4,2,0.6666666666666666,0.3846153846153846,,0.4879500364742666,subject_dependent,rbf_svm,1.0,0.7142857142857143,,0.8571428571428572,0.75,0.8214285714285714,0.6666666666666666,0.75,0.75,,1,0.3333333333333333,5,1.0
0.25,0.25,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.2593874444619947,"[[0, 4], [2, 2]]",valence,0.2,0.25,0.2,2,0.5,0,4,1.0,-0.5,0.7102753875069422,-0.5773502691896258,subject_dependent,rbf_svm,0.0,0.3333333333333333,0.4154761904761905,0.16666666666666666,0.25,0.16666666666666666,0.25,0.25,0.25,0.8125,0,0.0,2,0.5
0.375,0.5,"{""clf__C"": 0.1, ""clf__gamma"": 0.001}",0.26299364527536423,"[[3, 0], [5, 0]]",valence,0.2727272727272727,0.375,0.20454545454545453,5,1.0,1,0,0.0,0.0,0.73681426670061,0.0,subject_dependent,rbf_svm,0.375,0.0,0.4027777777777778,0.1875,0.375,0.140625,0.5,0.375,0.375,0.6000000000000001,3,1.0,0,0.0
0.75,0.5,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.2874996310606461,"[[0, 2], [0, 6]]",valence,0.42857142857142855,0.75,0.6428571428571428,0,0.0,2,2,1.0,0.0,0.7691480239623872,0.0,subject_dependent,rbf_svm,0.0,0.75,0.5,0.375,0.75,0.5625,0.5,0.75,0.75,0.25,0,0.0,6,1.0
0.125,0.08333333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.20424647425304535,"[[0, 2], [5, 1]]",valence,0.1111111111111111,0.125,0.16666666666666666,5,0.8333333333333334,3,2,1.0,-0.5555555555555556,0.6006077484487476,-0.7453559924999299,subject_dependent,rbf_svm,0.0,0.3333333333333333,0.20833333333333331,0.16666666666666666,0.125,0.25,0.08333333333333333,0.125,0.125,0.9166666666666667,0,0.0,1,0.16666666666666666
0.375,0.5,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.3263033376184254,"[[0, 5], [0, 3]]",valence,0.2727272727272727,0.375,0.20454545454545453,0,0.0,4,5,1.0,0.0,0.8541812832011384,0.0,subject_dependent,rbf_svm,0.0,0.375,0.8761904761904762,0.1875,0.375,0.140625,0.5,0.375,0.375,0.26666666666666666,0,0.0,3,1.0
0.625,0.3333333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 0, 1], [0, 0, 2], [0, 0, 5]]",valence,0.25641025641025644,0.625,0.4807692307692308,,,0,,,0.0,1.3512258891455307,0.0,subject_dependent,rbf_svm,,,0.32928571428571424,0.20833333333333334,0.625,0.390625,0.3333333333333333,0.625,0.625,0.3150793650793651,,,,
0.125,0.3333333333333333,"{""clf__C"": 0.1, ""clf__gamma"": 0.001}",,"[[0, 1, 0], [0, 1, 0], [0, 6, 0]]",valence,0.07407407407407407,0.125,0.027777777777777776,,,1,,,0.0,0.8167439755777285,0.0,subject_dependent,rbf_svm,,,0.6674603174603174,0.041666666666666664,0.125,0.015625,0.3333333333333333,0.125,0.125,0.5952380952380952,,,,
0.5,0.3333333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.01}",,"[[0, 0, 1], [0, 0, 3], [0, 0, 4]]",valence,0.2222222222222222,0.5,0.3333333333333333,,,2,,,0.0,1.028164759824653,0.0,subject_dependent,rbf_svm,,,0.5883597883597883,0.16666666666666666,0.5,0.25,0.3333333333333333,0.5,0.5,0.5865079365079365,,,,
0.625,0.5,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.3576046398492542,"[[0, 3], [0, 5]]",valence,0.38461538461538464,0.625,0.4807692307692308,0,0.0,3,3,1.0,0.0,,0.0,subject_dependent,rbf_svm,0.0,0.625,,0.3125,0.625,0.390625,0.5,0.625,0.625,,0,0.0,5,1.0
0.625,0.3333333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.01}",,"[[0, 0, 1], [0, 0, 2], [0, 0, 5]]",valence,0.25641025641025644,0.625,0.4807692307692308,,,4,,,0.0,0.9221844514890438,0.0,subject_dependent,rbf_svm,,,0.9888888888888889,0.20833333333333334,0.625,0.390625,0.3333333333333333,0.625,0.625,0.9777777777777779,,,,
0.625,0.43333333333333335,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 1, 0], [0, 4, 1], [0, 1, 1]]",valence,0.4090909090909091,0.625,0.5795454545454546,,,0,,,0.19999999999999996,1.025501441657366,0.21004201260420147,subject_dependent,rbf_svm,,,0.3453968253968254,0.38888888888888884,0.625,0.5416666666666666,0.43333333333333335,0.625,0.625,0.2555555555555556,,,,
0.625,0.4444444444444444,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 1, 0], [0, 4, 0], [0, 2, 1]]",valence,0.4090909090909091,0.625,0.5511363636363636,,,1,,,0.2727272727272727,0.9938963191800121,0.390199486285854,subject_dependent,rbf_svm,,,0.3819444444444444,0.5238095238095238,0.625,0.6607142857142857,0.4444444444444444,0.625,0.625,0.24623015873015874,,,,
0.625,0.625,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.2493083607536573,"[[4, 0], [3, 1]]",valence,0.5636363636363637,0.625,0.5636363636363637,3,0.75,2,0,0.0,0.25,,0.3779644730092272,subject_dependent,rbf_svm,0.5714285714285714,1.0,,0.7857142857142857,0.625,0.7857142857142857,0.625,0.625,0.625,,4,1.0,1,0.25
0.625,0.6333333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.24682238689200925,"[[3, 2], [1, 2]]",valence,0.6190476190476191,0.625,0.6309523809523809,1,0.3333333333333333,3,2,0.4,0.25,,0.2581988897471611,subject_dependent,rbf_svm,0.75,0.5,,0.625,0.625,0.65625,0.6333333333333333,0.625,0.625,,3,0.6,2,0.6666666666666666
0.625,0.5555555555555555,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 2, 0], [0, 3, 0], [0, 1, 2]]",valence,0.48888888888888893,0.625,0.55,,,4,,,0.4,1.371390820378433,0.5039526306789696,subject_dependent,rbf_svm,,,0.5337301587301587,0.5,0.625,0.5625,0.5555555555555555,0.625,0.625,0.5444444444444444,,,,
0.75,0.42857142857142855,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.43656494465155354,"[[6, 1], [1, 0]]",valence,0.42857142857142855,0.75,0.75,1,1.0,0,1,0.14285714285714285,-0.1428571428571428,,-0.14285714285714285,subject_dependent,rbf_svm,0.8571428571428571,0.0,,0.42857142857142855,0.75,0.75,0.42857142857142855,0.75,0.75,,6,0.8571428571428571,0,0.0
0.5,0.2857142857142857,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.3819160405918061,"[[4, 3], [1, 0]]",valence,0.3333333333333333,0.5,0.5833333333333333,1,1.0,1,3,0.42857142857142855,-0.23076923076923084,,-0.29277002188455997,subject_dependent,rbf_svm,0.8,0.0,,0.4,0.5,0.7000000000000001,0.2857142857142857,0.5,0.5,,4,0.5714285714285714,0,0.0
0.5,0.4444444444444444,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[0, 2, 0], [0, 3, 0], [0, 2, 1]]",valence,0.3666666666666667,0.5,0.4125,,,2,,,0.19999999999999996,1.2202900513864008,0.329914439536929,subject_dependent,rbf_svm,,,0.7328042328042329,0.4761904761904762,0.5,0.5357142857142857,0.4444444444444444,0.5,0.5,0.7888888888888889,,,,
0.625,0.5,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[0, 1, 0], [0, 2, 2], [0, 0, 3]]",valence,0.44047619047619047,0.625,0.5669642857142857,,,3,,,0.3513513513513513,0.804214835977674,0.38502677054341,subject_dependent,rbf_svm,,,0.6008597883597884,0.4222222222222222,0.625,0.5583333333333333,0.5,0.625,0.625,0.7085317460317461,,,,
0.75,0.7333333333333334,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.4483014456304916,"[[0, 0, 0], [1, 4, 0], [0, 1, 2]]",valence,0.5333333333333333,0.75,0.8,,,4,,,0.5151515151515151,,0.5322906474223771,subject_dependent,rbf_svm,,,,0.6,0.75,0.875,0.48888888888888893,0.75,0.75,,,,,
0.625,0.6666666666666666,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 3, 0], [0, 4, 0], [0, 0, 1]]",valence,0.5757575757575758,0.625,0.48863636363636365,,,0,,,0.3142857142857143,1.04363355928891,0.47691048323826596,subject_dependent,rbf_svm,,,0.5832671957671958,0.5238095238095238,0.625,0.4107142857142857,0.6666666666666666,0.625,0.625,0.48333333333333334,,,,
0.5,0.4666666666666666,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 1, 0], [0, 2, 0], [0, 3, 2]]",valence,0.35714285714285715,0.5,0.4821428571428571,,,1,,,0.23809523809523814,1.079114023598865,0.3500700210070024,subject_dependent,rbf_svm,,,0.5694444444444444,0.4444444444444444,0.5,0.7083333333333334,0.4666666666666666,0.5,0.5,0.6111111111111112,,,,
0.25,0.25,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[0, 2, 0], [1, 1, 2], [0, 1, 1]]",valence,0.21666666666666667,0.25,0.225,,,2,,,-0.19999999999999996,0.9098732663037591,-0.20519567041703082,subject_dependent,rbf_svm,,,0.6726190476190476,0.19444444444444442,0.25,0.20833333333333331,0.25,0.25,0.25,0.7361111111111112,,,,
0.375,0.4444444444444444,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[0, 0, 1], [1, 2, 3], [0, 0, 1]]",valence,0.27777777777777773,0.375,0.4166666666666667,,,3,,,0.13043478260869568,1.3301868185176742,0.20180183819889375,subject_dependent,rbf_svm,,,0.5435185185185185,0.39999999999999997,0.375,0.775,0.4444444444444444,0.375,0.375,0.6785714285714285,,,,
0.625,0.611111111111111,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[1, 1, 0], [0, 3, 0], [0, 2, 1]]",valence,0.611111111111111,0.625,0.6041666666666666,,,4,,,0.41463414634146345,0.8572263808211626,0.5144434027684821,subject_dependent,rbf_svm,,,0.75,0.8333333333333334,0.625,0.8125,0.611111111111111,0.625,0.625,0.8166666666666668,,,,
0.125,0.3333333333333333,"{""clf__C"": 0.1, ""clf__gamma"": 0.001}",,"[[1, 0, 0], [3, 0, 0], [4, 0, 0]]",valence,0.07407407407407407,0.125,0.027777777777777776,,,0,,,0.0,1.021348978090226,0.0,subject_dependent,rbf_svm,,,0.8375,0.041666666666666664,0.125,0.015625,0.3333333333333333,0.125,0.125,0.8513888888888889,,,,
0.25,0.3333333333333333,"{""clf__C"": 0.1, ""clf__gamma"": 0.001}",,"[[0, 3, 0], [0, 2, 0], [0, 3, 0]]",valence,0.13333333333333333,0.25,0.1,,,1,,,0.0,1.2104998187590557,0.0,subject_dependent,rbf_svm,,,0.4085978835978836,0.08333333333333333,0.25,0.0625,0.3333333333333333,0.25,0.25,0.4611111111111111,,,,
0.375,0.3333333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.01}",,"[[0, 1, 0], [0, 3, 0], [0, 4, 0]]",valence,0.1818181818181818,0.375,0.20454545454545453,,,2,,,0.0,1.0039764961785673,0.0,subject_dependent,rbf_svm,,,0.531878306878307,0.125,0.375,0.140625,0.3333333333333333,0.375,0.375,0.5607142857142857,,,,
0.25,0.3333333333333333,"{""clf__C"": 0.1, ""clf__gamma"": 0.001}",,"[[2, 0, 0], [3, 0, 0], [3, 0, 0]]",valence,0.13333333333333333,0.25,0.1,,,3,,,0.0,1.1911038864732175,0.0,subject_dependent,rbf_svm,,,0.4611111111111111,0.08333333333333333,0.25,0.0625,0.3333333333333333,0.25,0.25,0.5388888888888889,,,,
0.625,0.3333333333333333,"{""clf__C"": 0.1, ""clf__gamma"": 0.1}",,"[[0, 1, 0], [0, 5, 0], [0, 2, 0]]",valence,0.25641025641025644,0.625,0.4807692307692308,,,4,,,0.0,1.2224368123570297,0.0,subject_dependent,rbf_svm,,,0.3333333333333333,0.20833333333333334,0.625,0.390625,0.3333333333333333,0.625,0.625,0.5,,,,
0.375,0.3333333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[0, 0, 2], [0, 0, 3], [0, 0, 3]]",valence,0.1818181818181818,0.375,0.20454545454545453,,,0,,,0.0,1.1681127977037011,0.0,subject_dependent,rbf_svm,,,0.3263227513227513,0.125,0.375,0.140625,0.3333333333333333,0.375,0.375,0.3111111111111111,,,,
0.5,0.5833333333333334,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[1, 0, 1], [0, 2, 0], [0, 3, 1]]",valence,0.5238095238095238,0.5,0.47619047619047616,,,1,,,0.2727272727272727,1.1269791325282033,0.32539568672798425,subject_dependent,rbf_svm,,,0.33888888888888885,0.6333333333333333,0.5,0.6,0.5833333333333334,0.5,0.5,0.2916666666666667,,,,
