accuracy,balanced_accuracy,best_params,brier,confusion_matrix,dimension,f1_macro,f1_micro,f1_weighted,fn,fnr,fold,fp,fpr,kappa,log_loss,mcc,mode,model,npv,ppv,pr_auc,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,roc_auc,tn,tnr,tp,tpr,trial_accuracy,trial_f1_macro
0.80625,0.7375,"{""clf__C"": 3.3333333333333335, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.00030000000000000003}",0.16391791565057792,"[[105, 15], [16, 24]]",valence,0.739482115657335,0.80625,0.805425705131572,16,0.4,,15,0.125,0.4789915966386554,0.5089244403609126,0.47905926037633423,subject_dependent,rbf_svm,0.8677685950413223,0.6153846153846154,0.5193666197778173,0.7415766052129689,0.80625,0.8046726001271456,0.7375,0.80625,0.80625,0.7579166666666667,105,0.875,24,0.6,0.875,0.7948717948717949
0.58125,0.6216666666666667,"{""clf__C"": 3.3333333333333335, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.2619659241593152,"[[47, 13], [54, 46]]",valence,0.5812336419391382,0.58125,0.5805793195046681,54,0.54,,13,0.21666666666666667,0.21407624633431088,0.7344081565682152,0.24416900749952622,subject_dependent,rbf_svm,0.46534653465346537,0.7796610169491526,0.790104956308602,0.622503775801309,0.58125,0.6617930860882698,0.6216666666666667,0.58125,0.58125,0.6810833333333333,47,0.7833333333333333,46,0.46,0.625,0.6190476190476191
0.4875,0.56,"{""clf__C"": 3.3333333333333335, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.3041647434830743,"[[51, 9], [73, 27]]",valence,0.4757033248081841,0.4875,0.456042199488491,73,0.73,,9,0.15,0.09890109890109888,0.8308764006637821,0.13912166872805048,subject_dependent,rbf_svm,0.4112903225806452,0.75,0.7623742730966168,0.5806451612903226,0.4875,0.622983870967742,0.56,0.4875,0.4875,0.6935,51,0.85,27,0.27,0.375,0.2727272727272727
0.68125,0.665,"{""clf__C"": 30.0, ""clf__class_weight"": null, ""clf__gamma"": 0.0001}",0.2408148976010755,"[[73, 27], [24, 36]]",valence,0.663241302463786,0.68125,0.6827101646650984,24,0.4,,27,0.27,0.3267326732673267,0.7627326785746295,0.32698921088523103,subject_dependent,rbf_svm,0.7525773195876289,0.5714285714285714,0.6516978047559718,0.6620029455081001,0.68125,0.6846465390279823,0.665,0.68125,0.68125,0.6523333333333333,73,0.73,36,0.6,0.875,0.8545454545454545
0.5625,0.6000000000000001,"{""clf__C"": 3.3333333333333335, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.00030000000000000003}",0.27659084426213504,"[[27, 13], [57, 63]]",valence,0.5391705069124424,0.5625,0.5910138248847927,57,0.475,,13,0.325,0.14634146341463417,0.7510496054147178,0.173421993904824,subject_dependent,rbf_svm,0.32142857142857145,0.8289473684210527,0.8640355938327785,0.575187969924812,0.5625,0.7020676691729324,0.6000000000000001,0.5625,0.5625,0.63,27,0.675,63,0.525,0.75,0.7333333333333334
0.59375,0.5783333333333334,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.2520835460566909,"[[31, 29], [36, 64]]",valence,0.5757007058055568,0.59375,0.5975786381624577,36,0.36,,29,0.48333333333333334,0.15309446254071657,0.6976953069720243,0.15373521260294484,subject_dependent,rbf_svm,0.4626865671641791,0.6881720430107527,0.6953254193067104,0.5754293050874659,0.59375,0.6036149895682876,0.5783333333333334,0.59375,0.59375,0.56725,31,0.5166666666666667,64,0.64,0.625,0.6190476190476191
0.5375,0.4666666666666667,"{""clf__C"": 30.0, ""clf__class_weight"": null, ""clf__gamma"": 0.0001}",0.2885568743119803,"[[75, 25], [49, 11]]",valence,0.44940476190476186,0.5375,0.5044642857142857,49,0.8166666666666667,,25,0.25,-0.07246376811594213,0.8040132333619351,-0.07728981596002804,subject_dependent,rbf_svm,0.6048387096774194,0.3055555555555556,0.33511077331767014,0.4551971326164875,0.5375,0.4926075268817204,0.4666666666666667,0.5375,0.5375,0.43916666666666665,75,0.75,11,0.18333333333333332,0.625,0.38461538461538464
0.525,0.5833333333333333,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.2624641878452236,"[[56, 64], [12, 28]]",valence,0.5099935525467441,0.525,0.5528691166989039,12,0.3,,64,0.5333333333333333,0.11627906976744184,0.7214081914906971,0.14598929061844595,subject_dependent,rbf_svm,0.8235294117647058,0.30434782608695654,0.29983081137491946,0.5639386189258312,0.525,0.6937340153452685,0.5833333333333333,0.525,0.525,0.5996875,56,0.4666666666666667,28,0.7,0.625,0.6190476190476191
0.50625,0.50625,"{""clf__C"": 30.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.00030000000000000003}",0.2734440071860397,"[[46, 34], [45, 35]]",valence,0.5039051768122768,0.50625,0.5039051768122768,45,0.5625,,34,0.425,0.012499999999999956,0.7510809906762976,0.01261986643456444,subject_dependent,rbf_svm,0.5054945054945055,0.5072463768115942,0.5565873874678113,0.5063704411530499,0.50625,0.5063704411530499,0.50625,0.50625,0.50625,0.5360156250000001,46,0.575,35,0.4375,0.5,0.5
0.475,0.475,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.335067916707539,"[[41, 39], [45, 35]]",valence,0.47426067907995617,0.475,0.4742606790799561,45,0.5625,,39,0.4875,-0.050000000000000044,0.925817632576415,-0.05014122105639002,subject_dependent,rbf_svm,0.47674418604651164,0.47297297297297297,0.43274045920894255,0.4748585795097423,0.475,0.4748585795097423,0.475,0.475,0.475,0.44249999999999995,41,0.5125,35,0.4375,0.5,0.5
0.46875,0.5291666666666667,"{""clf__C"": 3.3333333333333335, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.00030000000000000003}",0.2925326819016617,"[[26, 14], [71, 49]]",valence,0.4575405847393403,0.46875,0.4965298552112003,71,0.5916666666666667,,14,0.35,0.039548022598870025,0.795321219744896,0.05169889620342157,subject_dependent,rbf_svm,0.26804123711340205,0.7777777777777778,0.8241049318820237,0.52290950744559,0.46875,0.6503436426116839,0.5291666666666667,0.46875,0.46875,0.5748958333333334,26,0.65,49,0.4083333333333333,0.5,0.5
0.56875,0.5416666666666667,"{""clf__C"": 3.3333333333333335, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.27535326520847014,"[[65, 35], [34, 26]]",valence,0.541509198886997,0.56875,0.5694484820798207,34,0.5666666666666667,,35,0.35,0.0830564784053156,0.7504052617636681,0.083063813201246,subject_dependent,rbf_svm,0.6565656565656566,0.4262295081967213,0.4184625949341067,0.541397582381189,0.56875,0.5701896009273059,0.5416666666666667,0.56875,0.56875,0.555,65,0.65,26,0.43333333333333335,0.625,0.5636363636363637
0.50625,0.50625,"{""clf__C"": 3.3333333333333335, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.24387202572989372,"[[69, 11], [68, 12]]",valence,0.4344772045993468,0.50625,0.43447720459934674,68,0.85,,11,0.1375,0.012499999999999956,0.6801107213694936,0.017814588639398526,subject_dependent,rbf_svm,0.5036496350364964,0.5217391304347826,0.5542780163873434,0.5126943827356395,0.50625,0.5126943827356396,0.50625,0.50625,0.50625,0.5795312499999999,69,0.8625,12,0.15,0.5,0.3333333333333333
0.41875,0.435,"{""clf__C"": 30.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.00030000000000000003}",0.3270070681386755,"[[30, 30], [63, 37]]",valence,0.4176353176000939,0.41875,0.42400493131384287,63,0.63,,30,0.5,-0.11711711711711703,0.8813327455810744,-0.12756751684074147,subject_dependent,rbf_svm,0.3225806451612903,0.5522388059701493,0.5695392752316986,0.4374097255657198,0.41875,0.4661169956668272,0.435,0.41875,0.41875,0.3833333333333333,30,0.5,37,0.37,0.375,0.36507936507936506
0.35625,0.345,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.00030000000000000003}",0.5039334224195151,"[[18, 42], [61, 39]]",valence,0.3449660161373663,0.35625,0.366459318732859,61,0.61,,42,0.7,-0.2915360501567399,1.602581928916316,-0.30017966178329886,subject_dependent,rbf_svm,0.22784810126582278,0.48148148148148145,0.5893763410097432,0.35466479137365214,0.35625,0.3863689639006095,0.345,0.35625,0.35625,0.30900000000000005,18,0.3,39,0.39,0.25,0.2
0.54375,0.5083333333333333,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.00030000000000000003}",0.253251646493785,"[[22, 38], [35, 65]]",valence,0.5082312323691633,0.54375,0.5412719464443603,35,0.35,,38,0.6333333333333333,0.01683501683501687,0.707165750620335,0.016848775151204264,subject_dependent,rbf_svm,0.38596491228070173,0.6310679611650486,0.6545233988033499,0.5085164367228752,0.54375,0.5391543178334185,0.5083333333333333,0.54375,0.54375,0.5268333333333334,22,0.36666666666666664,65,0.65,0.5,0.4666666666666667
0.38125,0.38125,"{""clf__C"": 30.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.00030000000000000003}",0.4401957010290851,"[[33, 47], [52, 28]]",valence,0.38064516129032255,0.38125,0.3806451612903226,52,0.65,,47,0.5875,-0.23750000000000004,1.3199881595816276,-0.23796523061235683,subject_dependent,rbf_svm,0.38823529411764707,0.37333333333333335,0.41107806504346645,0.3807843137254902,0.38125,0.38078431372549015,0.38125,0.38125,0.38125,0.31656249999999997,33,0.4125,28,0.35,0.25,0.25
0.4625,0.43666666666666665,"{""clf__C"": 30.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.3084809962830302,"[[20, 40], [46, 54]]",valence,0.43708067419407626,0.4625,0.46698576337751596,46,0.46,,40,0.6666666666666666,-0.12418300653594772,0.8457524747676185,-0.12456673246103782,subject_dependent,rbf_svm,0.30303030303030304,0.574468085106383,0.6025809770409363,0.438749194068343,0.4625,0.47267891682785307,0.43666666666666665,0.4625,0.4625,0.41400000000000003,20,0.3333333333333333,54,0.54,0.625,0.5636363636363637
0.59375,0.6125,"{""clf__C"": 30.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.00030000000000000003}",0.22357909963678235,"[[26, 14], [51, 69]]",valence,0.5621237000547346,0.59375,0.6209633278598796,51,0.425,,14,0.35,0.1719745222929936,0.6351320303335855,0.19499286844679808,subject_dependent,rbf_svm,0.33766233766233766,0.8313253012048193,0.8546839002707777,0.5844938194335785,0.59375,0.7079095603191989,0.6125,0.59375,0.59375,0.6679166666666666,26,0.65,69,0.575,0.875,0.8545454545454545
0.6875,0.5333333333333333,"{""clf__C"": 3.3333333333333335, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.20317688005467666,"[[9, 31], [19, 101]]",valence,0.5331465919701214,0.6875,0.6673669467787116,19,0.15833333333333333,,31,0.775,0.07407407407407407,0.5949418609198883,0.07597371763975863,subject_dependent,rbf_svm,0.32142857142857145,0.7651515151515151,0.7944261010982476,0.5432900432900433,0.6875,0.6542207792207793,0.5333333333333333,0.6875,0.6875,0.5860416666666666,9,0.225,101,0.8416666666666667,0.625,0.38461538461538464
0.45625,0.5041666666666667,"{""clf__C"": 30.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.00030000000000000003}",0.2731902248719521,"[[24, 16], [71, 49]]",valence,0.44264264264264264,0.45625,0.4861861861861862,71,0.5916666666666667,,16,0.4,0.005714285714285672,0.7600694282080932,0.00734718358370645,subject_dependent,rbf_svm,0.25263157894736843,0.7538461538461538,0.739041238822244,0.5032388663967611,0.45625,0.6285425101214575,0.5041666666666667,0.45625,0.45625,0.5304166666666668,24,0.6,49,0.4083333333333333,0.375,0.36507936507936506
0.625,0.625,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.00030000000000000003}",0.24192148677300945,"[[49, 31], [29, 51]]",valence,0.6249413970932958,0.625,0.6249413970932958,29,0.3625,,31,0.3875,0.25,0.6889714411038618,0.25007816164017765,subject_dependent,rbf_svm,0.6282051282051282,0.6219512195121951,0.6225021183206279,0.6250781738586617,0.625,0.6250781738586617,0.625,0.625,0.625,0.6709375,49,0.6125,51,0.6375,0.625,0.6190476190476191
