accuracy,balanced_accuracy,best_params,brier,confusion_matrix,dimension,f1_macro,f1_micro,f1_weighted,fn,fnr,fold,fp,fpr,kappa,log_loss,mcc,mode,model,npv,ppv,pr_auc,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,roc_auc,tn,tnr,tp,tpr
0.125,0.1111111111111111,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 0, 2], [2, 0, 1], [2, 0, 1]]",valence,0.09523809523809523,0.125,0.10714285714285714,,,0,,,-0.2727272727272727,1.2713454076857915,-0.3273268353539886,subject_dependent,rbf_svm,,,0.40648148148148144,0.08333333333333333,0.125,0.09375,0.1111111111111111,0.125,0.125,0.3222222222222222,,,,
0.25,0.25,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.2760090148998201,"[[1, 1, 2], [0, 0, 0], [2, 1, 1]]",valence,0.19047619047619047,0.25,0.2857142857142857,,,1,,,-0.19999999999999996,,-0.2182178902359924,subject_dependent,rbf_svm,,,,0.2222222222222222,0.25,0.3333333333333333,0.16666666666666666,0.25,0.25,,,,,
0.0,0.0,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[0, 0, 4], [2, 0, 1], [1, 0, 0]]",valence,0.0,0.0,0.0,,,2,,,-0.36170212765957444,1.1466874988151732,-0.5034965460952284,subject_dependent,rbf_svm,,,0.7503306878306878,0.0,0.0,0.0,0.0,0.0,0.0,0.7388888888888889,,,,
0.375,0.5,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[0, 1, 3], [0, 1, 1], [0, 0, 2]]",valence,0.3333333333333333,0.375,0.25,,,3,,,0.16666666666666663,1.2518482262623594,0.2581988897471611,subject_dependent,rbf_svm,,,0.36706349206349204,0.27777777777777773,0.375,0.20833333333333331,0.5,0.375,0.375,0.28472222222222215,,,,
0.375,0.3055555555555555,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[1, 2, 1], [1, 0, 0], [1, 0, 2]]",valence,0.31746031746031744,0.375,0.39285714285714285,,,4,,,0.024390243902439046,1.1842764628683553,0.025031308716087945,subject_dependent,rbf_svm,,,0.4349206349206349,0.3333333333333333,0.375,0.41666666666666663,0.3055555555555555,0.375,0.375,0.514484126984127,,,,
0.375,0.3333333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.01}",,"[[0, 0, 1], [0, 0, 4], [0, 0, 3]]",valence,0.1818181818181818,0.375,0.20454545454545453,,,0,,,0.0,1.05536084500454,0.0,subject_dependent,rbf_svm,,,0.46005291005291,0.125,0.375,0.140625,0.3333333333333333,0.375,0.375,0.508531746031746,,,,
0.75,0.5,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 1, 0], [0, 1, 1], [0, 0, 5]]",valence,0.4696969696969697,0.75,0.6931818181818181,,,1,,,0.4666666666666667,0.958822407274918,0.4900980294098034,subject_dependent,rbf_svm,,,0.5808730158730159,0.4444444444444445,0.75,0.6458333333333334,0.5,0.75,0.75,0.6071428571428572,,,,
0.375,0.4166666666666667,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 1, 1], [0, 1, 3], [0, 0, 2]]",valence,0.27777777777777773,0.375,0.29166666666666663,,,2,,,0.09090909090909094,1.6652471911940445,0.12909944487358055,subject_dependent,rbf_svm,,,0.3347222222222222,0.27777777777777773,0.375,0.3333333333333333,0.4166666666666667,0.375,0.375,0.34027777777777785,,,,
0.375,0.19999999999999998,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 0, 2], [0, 0, 1], [0, 2, 3]]",valence,0.1818181818181818,0.375,0.3409090909090909,,,3,,,-0.25,1.2888610670002192,-0.28005601680560194,subject_dependent,rbf_svm,,,0.5186507936507937,0.16666666666666666,0.375,0.3125,0.19999999999999998,0.375,0.375,0.5746031746031747,,,,
0.75,0.6666666666666666,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.2055826447033764,"[[1, 2], [0, 5]]",valence,0.6666666666666667,0.75,0.7083333333333334,0,0.0,4,2,0.6666666666666666,0.3846153846153846,,0.4879500364742666,subject_dependent,rbf_svm,1.0,0.7142857142857143,,0.8571428571428572,0.75,0.8214285714285714,0.6666666666666666,0.75,0.75,,1,0.3333333333333333,5,1.0
