accuracy,balanced_accuracy,best_params,brier,confusion_matrix,dimension,f1_macro,f1_micro,f1_weighted,fn,fnr,fold,fp,fpr,kappa,log_loss,mcc,mode,model,npv,ppv,pr_auc,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,roc_auc,tn,tnr,tp,tpr,trial_accuracy,trial_f1_macro
0.4625,0.49333333333333335,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.3298056434936515,"[[37, 23], [63, 37]]",valence,0.4625,0.4625,0.4625,63,0.63,,23,0.38333333333333336,-0.0117647058823529,0.9232030182428129,-0.013333333333333334,subject_dependent,rbf_svm,0.37,0.6166666666666667,0.6475367236817057,0.49333333333333335,0.4625,0.5241666666666667,0.49333333333333335,0.4625,0.4625,0.5306666666666666,37,0.6166666666666667,37,0.37,0.375,0.36507936507936506
0.5,0.5,"{""clf__C"": 100.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.3595428581982866,"[[52, 28], [52, 28]]",valence,0.48849104859335035,0.5,0.4884910485933503,52,0.65,,28,0.35,0.0,1.0691219929614437,0.0,subject_dependent,rbf_svm,0.5,0.5,0.5207511199571424,0.5,0.5,0.5,0.5,0.5,0.5,0.4396875,52,0.65,28,0.35,0.625,0.6190476190476191
0.3875,0.24285714285714285,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__gamma"": 0.01}",0.4516133234914304,"[[61, 79], [19, 1]]",valence,0.2872727272727273,0.3875,0.4877272727272728,19,0.95,,79,0.5642857142857143,-0.2250000000000001,1.5367899367572417,-0.34016802570830446,subject_dependent,rbf_svm,0.7625,0.0125,0.08339501506229839,0.38749999999999996,0.3875,0.66875,0.24285714285714285,0.3875,0.3875,0.23750000000000004,61,0.4357142857142857,1,0.05,0.25,0.2
0.65,0.65,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.21586398492374298,"[[39, 41], [15, 65]]",valence,0.6405071417108008,0.65,0.6405071417108009,15,0.1875,,41,0.5125,0.30000000000000004,0.6193216547456413,0.3172206342872576,subject_dependent,rbf_svm,0.7222222222222222,0.6132075471698113,0.8040742077105596,0.6677148846960168,0.65,0.6677148846960168,0.65,0.65,0.65,0.75265625,39,0.4875,65,0.8125,0.625,0.6190476190476191
0.6625,0.5766666666666667,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.001}",0.2795635485636299,"[[92, 8], [46, 14]]",valence,0.5572863291658127,0.6625,0.6112420577987293,46,0.7666666666666667,,8,0.08,0.17557251908396942,1.0442209657969133,0.21555659689428777,subject_dependent,rbf_svm,0.6666666666666666,0.6363636363636364,0.47293099615623313,0.6515151515151515,0.6625,0.6553030303030303,0.5766666666666667,0.6625,0.6625,0.5098333333333334,92,0.92,14,0.23333333333333334,0.625,0.38461538461538464
0.7625,0.6333333333333333,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.16948678124117864,"[[107, 13], [25, 15]]",valence,0.6451914098972922,0.7625,0.7471988795518207,25,0.625,,13,0.10833333333333334,0.2962962962962963,0.5190106409049912,0.3038948705590345,subject_dependent,rbf_svm,0.8106060606060606,0.5357142857142857,0.5180991347867568,0.6731601731601731,0.7625,0.7418831168831168,0.6333333333333333,0.7625,0.7625,0.7408333333333333,107,0.8916666666666667,15,0.375,0.875,0.7948717948717949
0.41875,0.5875,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.01}",0.32176277240892487,"[[37, 3], [90, 30]]",valence,0.4176353176000939,0.41875,0.404896090172596,90,0.75,,3,0.075,0.10144927536231885,0.9043447021516364,0.18728363799171838,subject_dependent,rbf_svm,0.29133858267716534,0.9090909090909091,0.8517648067183303,0.6002147458840372,0.41875,0.7546528274874731,0.5875,0.41875,0.41875,0.6345833333333333,37,0.925,30,0.25,0.25,0.2
0.55625,0.5716666666666667,"{""clf__C"": 100.0, ""clf__class_weight"": null, ""clf__gamma"": 0.001}",0.3141656554923292,"[[38, 22], [49, 51]]",valence,0.553301089221816,0.55625,0.5623746608469978,49,0.49,,22,0.36666666666666664,0.13149847094801226,0.9039908628737701,0.1393162479853332,subject_dependent,rbf_svm,0.4367816091954023,0.6986301369863014,0.7008713270554421,0.5677058730908519,0.55625,0.6004369390647143,0.5716666666666667,0.55625,0.55625,0.5663333333333334,38,0.6333333333333333,51,0.51,0.625,0.6190476190476191
0.43125,0.43125,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.348765664917729,"[[37, 43], [48, 32]]",valence,0.43069403714565,0.43125,0.43069403714565,48,0.6,,43,0.5375,-0.13749999999999996,0.9727767639093263,-0.1377693440387329,subject_dependent,rbf_svm,0.43529411764705883,0.4266666666666667,0.4336070289280186,0.4309803921568628,0.43125,0.4309803921568628,0.43125,0.43125,0.43125,0.4346875,37,0.4625,32,0.4,0.375,0.36507936507936506
0.46875,0.5041666666666667,"{""clf__C"": 100.0, ""clf__class_weight"": null, ""clf__gamma"": 0.0001}",0.31342353195191314,"[[23, 17], [68, 52]]",valence,0.45070479421624454,0.46875,0.5004846722403974,68,0.5666666666666667,,17,0.425,0.005847953216374324,0.8575202378388191,0.007286083283132902,subject_dependent,rbf_svm,0.25274725274725274,0.7536231884057971,0.7802464196516656,0.5031852205765249,0.46875,0.628404204491161,0.5041666666666667,0.46875,0.46875,0.5158333333333334,23,0.575,52,0.43333333333333335,0.5,0.5
