accuracy,balanced_accuracy,best_params,brier,confusion_matrix,dimension,f1_macro,f1_micro,f1_weighted,fn,fnr,fold,fp,fpr,kappa,log_loss,mcc,mode,model,npv,ppv,pr_auc,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,roc_auc,tn,tnr,tp,tpr,trial_accuracy,trial_balanced_accuracy,trial_brier,trial_confusion_matrix,trial_f1_macro,trial_f1_micro,trial_f1_weighted,trial_fn,trial_fnr,trial_fp,trial_fpr,trial_kappa,trial_log_loss,trial_mcc,trial_npv,trial_ppv,trial_pr_auc,trial_precision_macro,trial_precision_micro,trial_precision_weighted,trial_recall_macro,trial_recall_micro,trial_recall_weighted,trial_roc_auc,trial_tn,trial_tnr,trial_tp,trial_tpr
0.4875,0.5166666666666666,"{""clf__C"": 13.411788774467905, ""clf__gamma"": 0.00026210878782654407, ""clf__class_weight"": ""balanced""}",0.32265095192960913,"[[38, 22], [60, 40]]",valence,0.4874199093608376,0.4875,0.489021722144085,60,0.6,,22,0.36666666666666664,0.029585798816568087,0.9049268688015865,0.03312420684001202,subject_dependent,rbf_svm,0.3877551020408163,0.6451612903225806,0.6723073657183654,0.5164581961816985,0.4875,0.548633969716919,0.5166666666666666,0.4875,0.4875,0.5548333333333333,38,0.6333333333333333,40,0.4,0.5,0.6,0.28407723557993997,"[[3, 0], [4, 1]]",0.4666666666666667,0.5,0.4333333333333333,4,0.8,0,0.0,0.1578947368421053,0.7577213349579375,0.29277002188455997,0.42857142857142855,1.0,0.6961904761904761,0.7142857142857143,0.5,0.7857142857142857,0.6,0.5,0.5,0.4666666666666667,3,1.0,1,0.2
0.5375,0.5375000000000001,"{""clf__C"": 235.1599274057192, ""clf__gamma"": 0.021154290797261225, ""clf__class_weight"": ""balanced""}",0.3641207180612913,"[[64, 16], [58, 22]]",valence,0.5032723611344185,0.5375,0.5032723611344185,58,0.725,,16,0.2,0.07499999999999996,1.3623352015066779,0.088121024316907,subject_dependent,rbf_svm,0.5245901639344263,0.5789473684210527,0.5335273519407255,0.5517687661777395,0.5375,0.5517687661777394,0.5375000000000001,0.5375,0.5375,0.47937500000000005,64,0.8,22,0.275,0.5,0.5,0.30672861825136855,"[[3, 1], [3, 1]]",0.4666666666666667,0.5,0.4666666666666667,3,0.75,1,0.25,0.0,0.8813377671923789,0.0,0.5,0.5,0.6845238095238095,0.5,0.5,0.5,0.5,0.5,0.5,0.5625,3,0.75,1,0.25
0.41875,0.26071428571428573,"{""clf__C"": 0.26052157465743125, ""clf__gamma"": 0.013795402040204185, ""clf__class_weight"": null}",0.3626247485661243,"[[66, 74], [19, 1]]",valence,0.303859649122807,0.41875,0.5159649122807017,19,0.95,,74,0.5285714285714286,-0.21967213114754092,1.0473053195155526,-0.31716531578187107,subject_dependent,rbf_svm,0.7764705882352941,0.013333333333333334,0.08402915549964719,0.3949019607843137,0.41875,0.681078431372549,0.26071428571428573,0.41875,0.41875,0.24892857142857144,66,0.4714285714285714,1,0.05,0.375,0.21428571428571427,0.34234391327811897,"[[3, 4], [1, 0]]",0.2727272727272727,0.375,0.47727272727272724,1,1.0,4,0.5714285714285714,-0.25,0.9683095679787419,-0.3779644730092272,0.75,0.0,0.14285714285714285,0.375,0.375,0.65625,0.21428571428571427,0.375,0.375,0.1428571428571429,3,0.42857142857142855,0,0.0
0.6375,0.6375,"{""clf__C"": 0.40069130793659025, ""clf__gamma"": 0.0014899847475658245, ""clf__class_weight"": ""balanced""}",0.21598794008517935,"[[36, 44], [14, 66]]",valence,0.6242914979757086,0.6375,0.6242914979757085,14,0.175,,44,0.55,0.275,0.6190844832637246,0.2966479394838265,subject_dependent,rbf_svm,0.72,0.6,0.8029710911884327,0.6599999999999999,0.6375,0.6599999999999999,0.6375,0.6375,0.6375,0.7509374999999999,36,0.45,66,0.825,0.625,0.625,0.21039172419572097,"[[2, 2], [1, 3]]",0.6190476190476191,0.625,0.6190476190476191,1,0.25,2,0.5,0.25,0.6065187074191847,0.2581988897471611,0.6666666666666666,0.6,0.875,0.6333333333333333,0.625,0.6333333333333333,0.625,0.625,0.625,0.75,2,0.5,3,0.75
0.63125,0.5383333333333333,"{""clf__C"": 0.40069130793659025, ""clf__gamma"": 0.0014899847475658245, ""clf__class_weight"": ""balanced""}",0.275487654526232,"[[91, 9], [50, 10]]",valence,0.5041756394768633,0.63125,0.5669284101055727,50,0.8333333333333334,,9,0.09,0.08880308880308885,0.9002766849612689,0.11473498142967573,subject_dependent,rbf_svm,0.6453900709219859,0.5263157894736842,0.4506019103837211,0.585852930197835,0.63125,0.6007372153788728,0.5383333333333333,0.63125,0.63125,0.531,91,0.91,10,0.16666666666666666,0.625,0.5,0.2385896413075242,"[[5, 0], [3, 0]]",0.38461538461538464,0.625,0.4807692307692308,3,1.0,0,0.0,0.0,0.6936142928671004,0.0,0.625,0.0,0.7916666666666666,0.3125,0.625,0.390625,0.5,0.625,0.625,0.6666666666666666,5,1.0,0,0.0
0.76875,0.6541666666666667,"{""clf__C"": 0.4342298948286134, ""clf__gamma"": 0.0008179499475211679, ""clf__class_weight"": ""balanced""}",0.1759431091115915,"[[106, 14], [23, 17]]",valence,0.6651394309632898,0.76875,0.7582725267266248,23,0.575,,14,0.11666666666666667,0.33333333333333337,0.5330534873084526,0.337804471993279,subject_dependent,rbf_svm,0.8217054263565892,0.5483870967741935,0.5124643940784068,0.6850462615653914,0.76875,0.7533758439609903,0.6541666666666667,0.76875,0.76875,0.7327083333333334,106,0.8833333333333333,17,0.425,0.75,0.6666666666666667,0.14577861978056106,"[[5, 1], [1, 1]]",0.6666666666666667,0.75,0.75,1,0.5,1,0.16666666666666666,0.33333333333333337,0.4656692715393639,0.3333333333333333,0.8333333333333334,0.5,0.8333333333333333,0.6666666666666667,0.75,0.75,0.6666666666666667,0.75,0.75,0.9166666666666667,5,0.8333333333333334,1,0.5
0.425,0.5916666666666667,"{""clf__C"": 0.9020715489795292, ""clf__gamma"": 0.0048275888720946784, ""clf__class_weight"": null}",0.2961157447739223,"[[37, 3], [89, 31]]",valence,0.42419026756376155,0.425,0.41339383508058203,89,0.7416666666666667,,3,0.075,0.10679611650485432,0.8079192793611151,0.19406057880915314,subject_dependent,rbf_svm,0.29365079365079366,0.9117647058823529,0.8277082118129305,0.6027077497665733,0.425,0.7572362278244631,0.5916666666666667,0.425,0.425,0.5818749999999999,37,0.925,31,0.25833333333333336,0.375,0.5833333333333334,0.27581130380206775,"[[2, 0], [5, 1]]",0.36507936507936506,0.375,0.32539682539682535,5,0.8333333333333334,0,0.0,0.09090909090909094,0.7478285993475876,0.2182178902359924,0.2857142857142857,1.0,0.9305555555555556,0.6428571428571428,0.375,0.8214285714285714,0.5833333333333334,0.375,0.375,0.75,2,1.0,1,0.16666666666666666
0.55625,0.575,"{""clf__C"": 64.69870699850829, ""clf__gamma"": 0.0008200518402245837, ""clf__class_weight"": null}",0.26190979591083224,"[[39, 21], [50, 50]]",valence,0.5541426272616665,0.55625,0.5618058008556066,50,0.5,,21,0.35,0.13677811550151975,0.7246278012885135,0.14616476967981407,subject_dependent,rbf_svm,0.43820224719101125,0.704225352112676,0.7045936763418275,0.5712137996518436,0.55625,0.6044666877670517,0.575,0.55625,0.55625,0.5991666666666666,39,0.65,50,0.5,0.625,0.7,0.23470260334646076,"[[3, 0], [3, 2]]",0.6190476190476191,0.625,0.6071428571428571,3,0.6,0,0.0,0.33333333333333337,0.6617419302892595,0.4472135954999579,0.5,1.0,0.8261904761904763,0.75,0.625,0.8125,0.7,0.625,0.625,0.6666666666666667,3,1.0,2,0.4
0.45625,0.45625,"{""clf__C"": 2.2463533171675794, ""clf__gamma"": 0.0006516990611177178, ""clf__class_weight"": null}",0.3325316804873257,"[[35, 45], [42, 38]]",valence,0.4560587706615607,0.45625,0.4560587706615607,42,0.525,,45,0.5625,-0.08749999999999991,0.9099217449361697,-0.0875615884016348,subject_dependent,rbf_svm,0.45454545454545453,0.4578313253012048,0.43835720748130647,0.45618838992332966,0.45625,0.45618838992332966,0.45625,0.45625,0.45625,0.44343750000000004,35,0.4375,38,0.475,0.5,0.5,0.31393042627744566,"[[2, 2], [2, 2]]",0.5,0.5,0.5,2,0.5,2,0.5,0.0,0.843368857846682,0.0,0.5,0.5,0.5428571428571428,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,2,0.5
0.425,0.4916666666666667,"{""clf__C"": 0.40069130793659025, ""clf__gamma"": 0.0014899847475658245, ""clf__class_weight"": ""balanced""}",0.2833613857536454,"[[25, 15], [77, 43]]",valence,0.4176293717360342,0.425,0.45038771957588225,77,0.6416666666666667,,15,0.375,-0.01098901098901095,0.766680015103244,-0.015012578303701498,subject_dependent,rbf_svm,0.24509803921568626,0.7413793103448276,0.8006134248666141,0.49323867478025696,0.425,0.6173089925625422,0.4916666666666667,0.425,0.425,0.5388541666666666,25,0.625,43,0.35833333333333334,0.5,0.6666666666666666,0.27734382211861675,"[[2, 0], [4, 2]]",0.5,0.5,0.5,4,0.6666666666666666,0,0.0,0.19999999999999996,0.7517631691633891,0.3333333333333333,0.3333333333333333,1.0,0.8357142857142856,0.6666666666666666,0.5,0.8333333333333334,0.6666666666666666,0.5,0.5,0.5,2,1.0,2,0.3333333333333333
