accuracy,balanced_accuracy,best_params,brier,confusion_matrix,dimension,f1_macro,f1_micro,f1_weighted,fn,fnr,fold,fp,fpr,kappa,log_loss,mcc,mode,model,npv,ppv,pr_auc,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,roc_auc,tn,tnr,tp,tpr,trial_accuracy,trial_balanced_accuracy,trial_brier,trial_confusion_matrix,trial_f1_macro,trial_f1_micro,trial_f1_weighted,trial_fn,trial_fnr,trial_fp,trial_fpr,trial_kappa,trial_log_loss,trial_mcc,trial_npv,trial_ppv,trial_pr_auc,trial_precision_macro,trial_precision_micro,trial_precision_weighted,trial_recall_macro,trial_recall_micro,trial_recall_weighted,trial_roc_auc,trial_tn,trial_tnr,trial_tp,trial_tpr
0.5178571428571429,0.5523809523809524,"{""clf__C"": 13.411788774467905, ""clf__gamma"": 0.00026210878782654407, ""clf__class_weight"": ""balanced""}",0.314453968487063,"[[29, 13], [41, 29]]",valence,0.5178571428571429,0.5178571428571429,0.5178571428571429,41,0.5857142857142857,,13,0.30952380952380953,0.09243697478991597,0.8781086532027457,0.10476190476190476,subject_dependent,rbf_svm,0.4142857142857143,0.6904761904761905,0.7083823851740955,0.5523809523809524,0.5178571428571429,0.5869047619047619,0.5523809523809524,0.5178571428571429,0.5178571428571429,0.5608843537414966,29,0.6904761904761905,29,0.4142857142857143,0.5,0.6,0.279025694081975,"[[3, 0], [4, 1]]",0.4666666666666667,0.5,0.4333333333333333,4,0.8,0,0.0,0.1578947368421053,0.7497172681214569,0.29277002188455997,0.42857142857142855,1.0,0.7295238095238095,0.7142857142857143,0.5,0.7857142857142857,0.6,0.5,0.5,0.5333333333333334,3,1.0,1,0.2
0.5625,0.5625,"{""clf__C"": 235.1599274057192, ""clf__gamma"": 0.021154290797261225, ""clf__class_weight"": ""balanced""}",0.37460827059750074,"[[47, 9], [40, 16]]",valence,0.5262021928688595,0.5625,0.5262021928688595,40,0.7142857142857143,,9,0.16071428571428573,0.125,1.4936678495527131,0.1500957548772913,subject_dependent,rbf_svm,0.5402298850574713,0.64,0.5389173896820434,0.5901149425287356,0.5625,0.5901149425287356,0.5625,0.5625,0.5625,0.46237244897959184,47,0.8392857142857143,16,0.2857142857142857,0.625,0.625,0.32079576840346147,"[[4, 0], [3, 1]]",0.5636363636363637,0.625,0.5636363636363637,3,0.75,0,0.0,0.25,0.9457652020183774,0.3779644730092272,0.5714285714285714,1.0,0.6845238095238095,0.7857142857142857,0.625,0.7857142857142857,0.625,0.625,0.625,0.5625,4,1.0,1,0.25
0.41964285714285715,0.23979591836734693,"{""clf__C"": 0.26052157465743125, ""clf__gamma"": 0.013795402040204185, ""clf__class_weight"": null}",0.3594021073703418,"[[47, 51], [14, 0]]",valence,0.29559748427672955,0.41964285714285715,0.5172955974842767,14,1.0,,51,0.5204081632653061,-0.2440191387559809,1.0445676644581565,-0.34559794430822394,subject_dependent,rbf_svm,0.7704918032786885,0.0,0.08387094113826987,0.38524590163934425,0.41964285714285715,0.6741803278688525,0.23979591836734693,0.41964285714285715,0.41964285714285715,0.2193877551020408,47,0.47959183673469385,0,0.0,0.5,0.2857142857142857,0.3443722142977811,"[[4, 3], [1, 0]]",0.3333333333333333,0.5,0.5833333333333333,1,1.0,3,0.42857142857142855,-0.23076923076923084,0.989198673162069,-0.29277002188455997,0.8,0.0,0.14285714285714285,0.4,0.5,0.7000000000000001,0.2857142857142857,0.5,0.5,0.1428571428571429,4,0.5714285714285714,0,0.0
0.5446428571428571,0.5446428571428572,"{""clf__C"": 166.2878326769575, ""clf__gamma"": 0.008979064194712979, ""clf__class_weight"": ""balanced""}",0.30537156100005686,"[[19, 37], [14, 42]]",valence,0.5245942571785268,0.5446428571428571,0.5245942571785268,14,0.25,,37,0.6607142857142857,0.0892857142857143,0.9533379002589414,0.09792633226865932,subject_dependent,rbf_svm,0.5757575757575758,0.5316455696202531,0.7212914955182415,0.5537015726889145,0.5446428571428571,0.5537015726889144,0.5446428571428572,0.5446428571428571,0.5446428571428571,0.6808035714285714,19,0.3392857142857143,42,0.75,0.5,0.5,0.24420849505660525,"[[1, 3], [1, 3]]",0.4666666666666667,0.5,0.4666666666666667,1,0.25,3,0.75,0.0,0.6593029474825749,0.0,0.5,0.5,0.8303571428571428,0.5,0.5,0.5,0.5,0.5,0.5,0.75,1,0.25,3,0.75
0.6428571428571429,0.5428571428571428,"{""clf__C"": 0.40069130793659025, ""clf__gamma"": 0.0014899847475658245, ""clf__class_weight"": ""balanced""}",0.27129931167440813,"[[66, 4], [36, 6]]",valence,0.4991055456171736,0.6428571428571429,0.5661896243291592,36,0.8571428571428571,,4,0.05714285714285714,0.101123595505618,0.8607456199541209,0.1455213750217998,subject_dependent,rbf_svm,0.6470588235294118,0.6,0.46916283667564906,0.6235294117647059,0.6428571428571429,0.6294117647058824,0.5428571428571428,0.6428571428571429,0.6428571428571429,0.5499999999999999,66,0.9428571428571428,6,0.14285714285714285,0.625,0.5,0.2339413341938277,"[[5, 0], [3, 0]]",0.38461538461538464,0.625,0.4807692307692308,3,1.0,0,0.0,0.0,0.673902735863191,0.0,0.625,0.0,0.6984126984126985,0.3125,0.625,0.390625,0.5,0.625,0.625,0.6666666666666666,5,1.0,0,0.0
0.7678571428571429,0.6666666666666667,"{""clf__C"": 0.4342298948286134, ""clf__gamma"": 0.0008179499475211679, ""clf__class_weight"": ""balanced""}",0.18091815180973203,"[[73, 11], [15, 13]]",valence,0.6744186046511628,0.7678571428571429,0.7616279069767442,15,0.5357142857142857,,11,0.13095238095238096,0.35,0.5476218713158053,0.35176323534072423,subject_dependent,rbf_svm,0.8295454545454546,0.5416666666666666,0.4917331807173221,0.6856060606060606,0.7678571428571429,0.7575757575757577,0.6666666666666667,0.7678571428571429,0.7678571428571429,0.7181122448979592,73,0.8690476190476191,13,0.4642857142857143,0.75,0.6666666666666667,0.15075063691892163,"[[5, 1], [1, 1]]",0.6666666666666667,0.75,0.75,1,0.5,1,0.16666666666666666,0.33333333333333337,0.47373975531233203,0.3333333333333333,0.8333333333333334,0.5,0.5833333333333333,0.6666666666666667,0.75,0.75,0.6666666666666667,0.75,0.75,0.8333333333333334,5,0.8333333333333334,1,0.5
0.5178571428571429,0.6071428571428571,"{""clf__C"": 1.351144633701368, ""clf__gamma"": 0.015446089075047083, ""clf__class_weight"": ""balanced""}",0.3490842841414172,"[[22, 6], [48, 36]]",valence,0.5102040816326531,0.5178571428571429,0.5408163265306122,48,0.5714285714285714,,6,0.21428571428571427,0.1428571428571429,1.1029211544539685,0.19166296949998196,subject_dependent,rbf_svm,0.3142857142857143,0.8571428571428571,0.8658850027529681,0.5857142857142856,0.5178571428571429,0.7214285714285714,0.6071428571428571,0.5178571428571429,0.5178571428571429,0.6704931972789115,22,0.7857142857142857,36,0.42857142857142855,0.375,0.5833333333333334,0.28799952556210423,"[[2, 0], [5, 1]]",0.36507936507936506,0.375,0.32539682539682535,5,0.8333333333333334,0,0.0,0.09090909090909094,0.7850633806935219,0.2182178902359924,0.2857142857142857,1.0,0.9583333333333334,0.6428571428571428,0.375,0.8214285714285714,0.5833333333333334,0.375,0.375,0.8333333333333334,2,1.0,1,0.16666666666666666
0.5178571428571429,0.5380952380952381,"{""clf__C"": 262.30889101079146, ""clf__gamma"": 0.0025135566617708314, ""clf__class_weight"": null}",0.3249942719151036,"[[26, 16], [38, 32]]",valence,0.5164694595458906,0.5178571428571429,0.522945314998401,38,0.5428571428571428,,16,0.38095238095238093,0.06896551724137934,0.9613908342272711,0.07453559924999299,subject_dependent,rbf_svm,0.40625,0.6666666666666666,0.6882775372922033,0.5364583333333333,0.5178571428571429,0.5690104166666666,0.5380952380952381,0.5178571428571429,0.5178571428571429,0.5642857142857143,26,0.6190476190476191,32,0.45714285714285713,0.75,0.8,0.2444227677778143,"[[3, 0], [2, 3]]",0.75,0.75,0.75,2,0.4,0,0.0,0.5294117647058824,0.6822177395345985,0.6,0.6,1.0,0.8761904761904762,0.8,0.75,0.85,0.8,0.75,0.75,0.7333333333333334,3,1.0,3,0.6
0.4732142857142857,0.4732142857142857,"{""clf__C"": 2.2463533171675794, ""clf__gamma"": 0.0006516990611177178, ""clf__class_weight"": null}",0.32968499676792706,"[[24, 32], [27, 29]]",valence,0.47216231328380864,0.4732142857142857,0.47216231328380864,27,0.48214285714285715,,32,0.5714285714285714,-0.0535714285714286,0.8979375752202435,-0.05378624789733593,subject_dependent,rbf_svm,0.47058823529411764,0.47540983606557374,0.4547097489651255,0.4729990356798457,0.4732142857142857,0.47299903567984575,0.4732142857142857,0.4732142857142857,0.4732142857142857,0.4534438775510204,24,0.42857142857142855,29,0.5178571428571429,0.5,0.5,0.3144717622725296,"[[2, 2], [2, 2]]",0.5,0.5,0.5,2,0.5,2,0.5,0.0,0.8502119712009659,0.0,0.5,0.5,0.5428571428571428,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,2,0.5
0.48214285714285715,0.5119047619047619,"{""clf__C"": 0.40069130793659025, ""clf__gamma"": 0.0014899847475658245, ""clf__class_weight"": ""balanced""}",0.281200864506599,"[[16, 12], [46, 38]]",valence,0.46135986733001655,0.48214285714285715,0.5142620232172471,46,0.5476190476190477,,12,0.42857142857142855,0.016949152542372836,0.7612751889998697,0.020739033894608506,subject_dependent,rbf_svm,0.25806451612903225,0.76,0.7772693455237554,0.5090322580645161,0.48214285714285715,0.6345161290322581,0.5119047619047619,0.48214285714285715,0.48214285714285715,0.49340986394557823,16,0.5714285714285714,38,0.4523809523809524,0.375,0.41666666666666663,0.27583641375030876,"[[1, 1], [4, 2]]",0.36507936507936506,0.375,0.40476190476190477,4,0.6666666666666666,1,0.5,-0.11111111111111116,0.7482341409424911,-0.14907119849998599,0.2,0.6666666666666666,0.7801587301587302,0.43333333333333335,0.375,0.55,0.41666666666666663,0.375,0.375,0.41666666666666663,1,0.5,2,0.3333333333333333
